timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-14T16:17:04.093,0.075,-0.983,-0.086,0.509,-4.107,-1.272,0.989,4.33,10,0.0,IDLE_FALL
2026-04-14T16:17:04.093,0.071,-0.989,-0.085,0.649,-2.847,-0.992,0.995,3.084,10,0.0,IDLE_FALL
2026-04-14T16:17:04.093,0.075,-0.99,-0.081,1.209,-1.937,-0.852,0.997,2.437,10,0.0,IDLE_FALL
2026-04-14T16:17:04.093,0.077,-0.99,-0.068,1.699,-1.517,-0.852,0.996,2.432,10,0.0,IDLE_FALL
2026-04-14T16:17:04.093,0.076,-0.992,-0.061,1.279,-1.517,-1.202,0.997,2.32,10,0.0,IDLE_FALL
2026-04-14T16:17:04.093,0.081,-0.987,-0.075,2.189,0.513,-3.372,0.993,4.052,245,0.0,IDLE_FALL
2026-04-14T16:17:04.093,0.078,-0.989,-0.079,2.329,0.583,-3.302,0.995,4.082,5,0.0,IDLE_FALL
2026-04-14T16:17:04.093,0.082,-0.987,-0.075,2.399,0.373,-3.162,0.993,3.986,3,0.0,IDLE_FALL
2026-04-14T16:17:04.110,0.081,-0.986,-0.077,2.679,0.303,-3.232,0.992,4.208,5,0.0,IDLE_FALL
2026-04-14T16:17:04.112,0.082,-0.988,-0.075,2.679,0.303,-3.302,0.994,4.262,5,0.0,IDLE_FALL
2026-04-14T16:17:04.121,0.082,-0.988,-0.074,2.889,0.023,-3.162,0.994,4.283,5,0.0,IDLE_FALL
2026-04-14T16:17:04.122,0.086,-0.988,-0.078,2.959,-0.047,-3.372,0.994,4.486,5,0.0,IDLE_FALL
2026-04-14T16:17:04.122,0.086,-0.988,-0.074,3.029,-0.257,-3.302,0.994,4.488,5,0.0,IDLE_FALL
2026-04-14T16:17:04.122,0.087,-0.989,-0.075,3.029,-0.257,-3.092,0.996,4.336,5,0.0,IDLE_FALL
2026-04-14T16:17:04.139,0.087,-0.989,-0.076,3.029,-0.397,-3.232,0.996,4.447,4,0.0,IDLE_FALL
2026-04-14T16:17:04.142,0.087,-0.991,-0.076,3.169,-0.537,-3.302,0.998,4.608,5,0.0,IDLE_FALL
2026-04-14T16:17:04.147,0.088,-0.993,-0.074,3.239,-0.747,-3.232,1.0,4.636,4,0.0,IDLE_FALL
2026-04-14T16:17:04.154,0.089,-0.992,-0.073,3.239,-0.817,-3.302,0.999,4.697,5,0.0,IDLE_FALL
2026-04-14T16:17:04.155,0.088,-0.995,-0.072,3.169,-1.027,-3.162,1.001,4.593,5,0.0,IDLE_FALL
2026-04-14T16:17:04.161,0.09,-0.994,-0.072,3.309,-1.167,-3.162,1.001,4.723,4,0.0,IDLE_FALL
2026-04-14T16:17:04.161,0.09,-0.993,-0.07,3.169,-1.237,-3.022,1.0,4.55,5,0.0,IDLE_FALL
2026-04-14T16:17:04.161,0.089,-0.994,-0.068,3.099,-1.307,-2.952,1.0,4.475,5,0.0,IDLE_FALL
2026-04-14T16:17:04.161,0.089,-0.995,-0.067,2.959,-1.657,-3.022,1.002,4.542,5,0.0,IDLE_FALL
2026-04-14T16:17:04.179,0.089,-0.995,-0.066,2.819,-1.517,-2.742,1.001,4.215,5,0.0,IDLE_FALL
2026-04-14T16:17:04.185,0.088,-0.994,-0.066,2.819,-1.657,-2.812,1.0,4.312,4,0.0,IDLE_FALL
2026-04-14T16:17:04.188,0.088,-0.992,-0.067,2.609,-1.657,-2.672,0.999,4.085,4,0.0,IDLE_FALL
