timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-14T16:29:27.406,0.063,-0.991,-0.073,-0.331,8.353,-4.562,0.996,9.523,10,0.0,IDLE_FALL
2026-04-14T16:29:27.406,0.087,-0.983,-0.059,1.769,9.403,-4.632,0.989,10.63,10,0.0,IDLE_FALL
2026-04-14T16:29:27.406,0.102,-0.974,-0.027,3.239,8.213,-4.072,0.98,9.722,10,0.0,IDLE_FALL
2026-04-14T16:29:27.406,0.103,-1.104,-0.02,1.069,4.993,-3.652,1.109,6.277,10,0.0,IDLE_FALL
2026-04-14T16:29:27.410,0.096,-0.993,-0.027,-2.361,2.823,-3.722,0.998,5.234,10,0.0,IDLE_FALL
2026-04-14T16:29:27.414,0.081,-1.0,-0.067,0.649,-4.807,-0.082,1.006,4.852,257,0.0,IDLE_FALL
2026-04-14T16:29:27.419,0.079,-0.997,-0.067,0.859,-4.037,-0.152,1.002,4.13,3,0.0,IDLE_FALL
2026-04-14T16:29:27.423,0.074,-0.998,-0.065,1.139,-3.547,-0.362,1.003,3.743,5,0.0,IDLE_FALL
2026-04-14T16:29:27.428,0.074,-0.999,-0.06,1.559,-3.057,-0.432,1.004,3.459,5,0.0,IDLE_FALL
2026-04-14T16:29:27.432,0.074,-0.997,-0.056,1.489,-2.987,-0.782,1.002,3.428,5,0.0,IDLE_FALL
2026-04-14T16:29:27.439,0.075,-0.992,-0.053,1.559,-2.987,-0.992,0.997,3.512,5,0.0,IDLE_FALL
2026-04-14T16:29:27.442,0.079,-0.988,-0.047,1.629,-3.057,-0.922,0.993,3.585,4,0.0,IDLE_FALL
2026-04-14T16:29:27.447,0.081,-0.985,-0.047,1.839,-3.127,-1.132,0.99,3.8,5,0.0,IDLE_FALL
2026-04-14T16:29:27.452,0.084,-0.982,-0.044,1.979,-3.337,-1.272,0.987,4.083,5,0.0,IDLE_FALL
2026-04-14T16:29:27.457,0.084,-0.981,-0.045,2.119,-3.337,-1.132,0.985,4.112,4,0.0,IDLE_FALL
2026-04-14T16:29:27.457,0.086,-0.979,-0.043,2.259,-3.407,-1.272,0.984,4.281,5,0.0,IDLE_FALL
2026-04-14T16:29:27.464,0.088,-0.979,-0.042,2.189,-3.547,-1.272,0.984,4.358,4,0.0,IDLE_FALL
2026-04-14T16:29:27.470,0.091,-0.982,-0.041,2.469,-3.337,-1.202,0.987,4.322,5,0.0,IDLE_FALL
2026-04-14T16:29:27.474,0.09,-0.985,-0.043,2.399,-3.267,-1.202,0.99,4.228,5,0.0,IDLE_FALL
2026-04-14T16:29:27.474,0.09,-0.991,-0.044,2.189,-3.057,-0.992,0.996,3.889,5,0.0,IDLE_FALL
2026-04-14T16:29:27.484,0.089,-0.991,-0.045,1.979,-2.917,-1.062,0.996,3.681,5,0.0,IDLE_FALL
2026-04-14T16:29:27.488,0.09,-0.995,-0.046,1.769,-2.987,-1.272,1.0,3.697,5,0.0,IDLE_FALL
2026-04-14T16:29:27.488,0.088,-1.001,-0.044,1.559,-2.847,-1.272,1.006,3.486,4,0.0,IDLE_FALL
2026-04-14T16:29:27.496,0.089,-1.004,-0.043,1.139,-2.777,-1.412,1.008,3.317,4,0.0,IDLE_FALL
2026-04-14T16:29:27.502,0.086,-1.003,-0.038,0.649,-2.497,-1.342,1.008,2.908,5,0.0,IDLE_FALL
2026-04-14T16:29:27.502,0.086,-1.001,-0.034,-0.191,-2.497,-1.202,1.005,2.778,5,0.0,IDLE_FALL
2026-04-14T16:29:27.512,0.087,-1.001,-0.031,-1.031,-2.497,-1.202,1.005,2.957,5,0.0,IDLE_FALL
2026-04-14T16:29:27.512,0.084,-0.997,-0.032,-1.941,-2.567,-1.132,1.001,3.412,4,0.0,IDLE_FALL
2026-04-14T16:29:27.520,0.083,-0.994,-0.034,-2.431,-2.777,-1.202,0.998,3.882,5,0.0,IDLE_FALL
2026-04-14T16:29:27.520,0.085,-0.994,-0.036,-2.711,-3.127,-0.992,0.999,4.256,5,0.0,IDLE_FALL
2026-04-14T16:29:27.520,0.082,-0.99,-0.04,-2.711,-3.337,-0.992,0.994,4.413,5,0.0,IDLE_FALL
2026-04-14T16:29:27.520,0.08,-0.991,-0.04,-2.641,-3.407,-1.062,0.995,4.44,5,0.0,IDLE_FALL
2026-04-14T16:29:27.536,0.077,-0.99,-0.041,-2.361,-3.407,-1.202,0.994,4.316,3,0.0,IDLE_FALL
2026-04-14T16:29:27.536,0.078,-0.991,-0.043,-2.221,-3.337,-1.062,0.995,4.147,5,0.0,IDLE_FALL
2026-04-14T16:29:27.536,0.083,-0.993,-0.044,-1.871,-3.127,-1.272,0.998,3.86,5,0.0,IDLE_FALL
2026-04-14T16:29:27.552,0.082,-0.994,-0.042,-1.801,-3.057,-1.342,0.999,3.793,5,0.0,IDLE_FALL
2026-04-14T16:29:27.552,0.082,-0.991,-0.041,-1.521,-3.197,-1.552,0.996,3.866,5,0.0,IDLE_FALL
2026-04-14T16:29:27.565,0.086,-0.989,-0.043,-1.241,-3.197,-1.692,0.994,3.824,4,0.0,IDLE_FALL
2026-04-14T16:29:27.568,0.086,-0.988,-0.043,-0.751,-3.197,-1.762,0.993,3.727,5,0.0,IDLE_FALL
2026-04-14T16:29:27.574,0.087,-0.987,-0.044,-0.121,-3.337,-1.972,0.992,3.878,5,0.0,IDLE_FALL
2026-04-14T16:29:27.578,0.087,-0.985,-0.043,0.159,-3.337,-2.112,0.99,3.952,5,0.0,IDLE_FALL
2026-04-14T16:29:27.578,0.087,-0.985,-0.043,0.509,-3.617,-2.252,0.989,4.291,4,0.0,IDLE_FALL
2026-04-14T16:29:27.586,0.089,-0.987,-0.039,0.579,-3.897,-2.252,0.992,4.538,5,0.0,IDLE_FALL
