timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-21T16:53:07.585,-0.184,0.895,-0.293,14.859,72.403,-4.772,0.959,74.066,10,0.0,CHECK_FALL
2026-04-21T16:53:07.585,-0.192,0.912,-0.29,13.809,66.593,-4.912,0.976,68.187,10,0.0,CHECK_FALL
2026-04-21T16:53:07.585,-0.201,0.923,-0.296,11.849,60.993,-5.122,0.99,62.344,10,0.0,CHECK_FALL
2026-04-21T16:53:07.595,-0.212,0.952,-0.311,9.469,53.293,-5.332,1.024,54.389,10,0.0,CHECK_FALL
2026-04-21T16:53:07.595,-0.233,0.988,-0.308,4.919,47.273,-4.562,1.061,47.746,10,0.0,CHECK_FALL
2026-04-21T16:53:07.595,-0.231,1.042,-0.028,6.459,19.203,-5.052,1.068,20.88,385,0.0,CHECK_FALL
2026-04-21T16:53:07.595,-0.223,1.033,-0.03,6.599,19.273,-4.352,1.057,20.831,4,0.0,CHECK_FALL
2026-04-21T16:53:07.595,-0.215,1.022,-0.031,7.369,20.043,-4.142,1.045,21.752,5,0.0,CHECK_FALL
2026-04-21T16:53:07.595,-0.223,1.023,-0.018,7.369,20.043,-3.162,1.047,21.587,5,0.0,CHECK_FALL
2026-04-21T16:53:07.611,-0.212,1.019,-0.016,7.369,19.343,-2.672,1.041,20.871,5,0.0,CHECK_FALL
2026-04-21T16:53:07.616,-0.207,1.005,-0.012,7.789,19.273,-2.392,1.027,20.924,5,0.0,CHECK_FALL
2026-04-21T16:53:07.618,-0.217,1.012,-0.003,7.229,17.943,-1.272,1.035,19.386,5,0.0,CHECK_FALL
2026-04-21T16:53:07.622,-0.209,1.013,0.004,6.389,16.403,-1.132,1.034,17.639,4,0.0,CHECK_FALL
2026-04-21T16:53:07.627,-0.206,1.017,0.001,5.689,15.423,-0.572,1.037,16.448,4,0.0,CHECK_FALL
2026-04-21T16:53:07.631,-0.198,1.015,-0.006,5.409,14.653,-0.922,1.034,15.646,5,0.0,CHECK_FALL
2026-04-21T16:53:07.635,-0.197,1.011,-0.013,5.969,14.163,-1.132,1.03,15.411,5,0.0,CHECK_FALL
2026-04-21T16:53:07.635,-0.191,1.016,-0.023,6.809,14.303,-1.552,1.034,15.917,5,0.0,CHECK_FALL
2026-04-21T16:53:07.635,-0.204,1.014,-0.03,8.349,14.653,-1.622,1.035,16.942,4,0.0,CHECK_FALL
2026-04-21T16:53:07.652,-0.208,1.027,-0.022,8.069,13.113,-1.482,1.048,15.468,5,0.0,CHECK_FALL
2026-04-21T16:53:07.652,-0.198,1.029,-0.023,7.929,11.923,-2.042,1.048,14.463,5,0.0,CHECK_FALL
2026-04-21T16:53:07.652,-0.202,1.027,-0.028,8.489,11.853,-1.972,1.047,14.712,5,0.0,CHECK_FALL
2026-04-21T16:53:07.652,-0.21,1.041,-0.019,7.719,9.543,-1.902,1.062,12.42,5,0.0,CHECK_FALL
2026-04-21T16:53:07.670,-0.202,1.041,-0.015,6.949,8.983,-1.902,1.06,11.515,3,0.0,CHECK_FALL
2026-04-21T16:53:07.670,-0.207,1.043,-0.006,5.899,8.003,-1.482,1.064,10.052,5,0.0,CHECK_FALL
2026-04-21T16:53:07.670,-0.2,1.038,-0.006,5.059,6.253,-1.482,1.057,8.178,5,0.0,CHECK_FALL
2026-04-21T16:53:07.670,-0.202,1.034,-0.006,4.149,5.833,-1.412,1.054,7.296,5,0.0,CHECK_FALL
2026-04-21T16:53:07.685,-0.202,1.038,-0.01,3.239,4.573,-1.062,1.058,5.703,5,0.0,CHECK_FALL
2026-04-21T16:53:07.693,-0.201,1.031,-0.016,2.609,4.153,-0.782,1.05,4.966,4,0.0,CHECK_FALL
2026-04-21T16:53:07.693,-0.2,1.026,-0.024,2.469,3.943,-0.782,1.046,4.717,5,0.0,CHECK_FALL
2026-04-21T16:53:07.703,-0.197,1.02,-0.032,2.469,3.663,-1.062,1.039,4.543,5,0.0,CHECK_FALL
2026-04-21T16:53:07.703,-0.207,1.023,-0.029,2.329,3.523,-0.992,1.044,4.338,5,0.0,CHECK_FALL
2026-04-21T16:53:07.703,-0.202,1.026,-0.027,2.049,3.453,-0.852,1.046,4.104,3,0.0,CHECK_FALL
2026-04-21T16:53:07.703,-0.196,1.024,-0.031,1.489,3.243,-1.062,1.044,3.723,5,0.0,CHECK_FALL
2026-04-21T16:53:07.721,-0.196,1.03,-0.03,0.859,2.333,-1.202,1.049,2.761,5,0.0,CHECK_FALL
2026-04-21T16:53:07.721,-0.197,1.036,-0.031,0.509,1.493,-1.482,1.055,2.164,5,0.0,CHECK_FALL
2026-04-21T16:53:07.730,-0.192,1.036,-0.036,0.509,0.583,-1.902,1.054,2.053,4,0.0,CHECK_FALL
2026-04-21T16:53:07.730,-0.194,1.042,-0.037,0.369,-0.187,-2.042,1.061,2.083,5,0.0,CHECK_FALL
2026-04-21T16:53:07.730,-0.2,1.051,-0.035,0.439,-1.377,-2.112,1.07,2.559,5,0.0,CHECK_FALL
2026-04-21T16:53:07.745,-0.198,1.044,-0.033,0.439,-2.497,-2.742,1.064,3.734,5,0.0,CHECK_FALL
2026-04-21T16:53:07.745,-0.196,1.048,-0.032,0.579,-3.407,-3.302,1.066,4.78,5,0.0,CHECK_FALL
2026-04-21T16:53:07.745,-0.203,1.056,-0.029,0.439,-4.107,-3.582,1.076,5.467,3,0.0,CHECK_FALL
2026-04-21T16:53:07.745,-0.203,1.054,-0.025,0.159,-4.177,-3.792,1.074,5.644,5,0.0,CHECK_FALL
2026-04-21T16:53:07.761,-0.198,1.047,-0.028,0.019,-3.897,-4.352,1.066,5.842,5,0.0,CHECK_FALL
2026-04-21T16:53:07.761,-0.2,1.048,-0.029,-0.681,-3.197,-4.212,1.068,5.331,5,0.0,CHECK_FALL
2026-04-21T16:53:07.761,-0.189,1.038,-0.03,-1.591,-2.217,-4.492,1.056,5.256,4,0.0,CHECK_FALL
2026-04-21T16:53:07.777,-0.185,1.029,-0.041,-1.661,-1.237,-4.562,1.046,5.01,5,0.0,CHECK_FALL
2026-04-21T16:53:07.777,-0.192,1.03,-0.034,-2.361,-0.467,-4.212,1.048,4.851,5,0.0,CHECK_FALL
2026-04-21T16:53:07.777,-0.18,1.017,-0.032,-3.061,0.303,-4.072,1.033,5.103,5,0.0,CHECK_FALL
2026-04-21T16:53:07.792,-0.177,1.01,-0.035,-3.481,0.303,-3.792,1.026,5.156,5,0.0,CHECK_FALL
2026-04-21T16:53:07.792,-0.178,1.014,-0.032,-4.041,0.303,-3.652,1.03,5.455,3,0.0,CHECK_FALL
2026-04-21T16:53:07.792,-0.173,1.014,-0.032,-4.391,0.443,-3.862,1.029,5.864,5,0.0,CHECK_FALL
2026-04-21T16:53:07.792,-0.181,1.02,-0.031,-4.881,0.023,-3.932,1.036,6.268,5,0.0,CHECK_FALL
2026-04-21T16:53:07.808,-0.193,1.034,-0.031,-5.231,-0.397,-3.862,1.052,6.514,5,0.0,CHECK_FALL
2026-04-21T16:53:07.808,-0.192,1.033,-0.035,-5.861,-0.257,-4.352,1.051,7.304,4,0.0,CHECK_FALL
2026-04-21T16:53:07.818,-0.202,1.038,-0.052,-5.161,-0.607,-4.772,1.059,7.055,5,0.0,CHECK_FALL
2026-04-21T16:53:07.818,-0.219,1.052,-0.054,-5.441,-1.237,-4.772,1.076,7.342,5,0.0,CHECK_FALL
2026-04-21T16:53:07.818,-0.223,1.056,-0.059,-5.441,-1.867,-5.262,1.081,7.796,5,0.0,CHECK_FALL
2026-04-21T16:53:07.834,-0.219,1.047,-0.07,-4.531,-1.657,-6.312,1.072,7.944,4,0.0,CHECK_FALL
2026-04-21T16:53:07.834,-0.24,1.064,-0.077,-4.881,-3.337,-6.802,1.093,9.012,5,0.0,CHECK_FALL
2026-04-21T16:53:07.844,-0.234,1.063,-0.078,-4.881,-4.597,-7.362,1.091,9.958,5,0.0,CHECK_FALL
2026-04-21T16:53:07.844,-0.253,1.081,-0.065,-6.281,-6.977,-6.732,1.112,11.552,5,0.0,CHECK_FALL
2026-04-21T16:53:07.844,-0.245,1.08,-0.055,-7.891,-8.797,-6.382,1.108,13.431,4,0.0,CHECK_FALL
2026-04-21T16:53:07.844,-0.236,1.069,-0.06,-9.361,-10.197,-6.452,1.096,15.272,5,0.0,CHECK_FALL
2026-04-21T16:53:07.860,-0.233,1.064,-0.077,-10.341,-11.457,-6.172,1.092,16.622,5,0.0,CHECK_FALL
2026-04-21T16:53:07.860,-0.225,1.054,-0.089,-10.551,-12.437,-5.752,1.082,17.294,5,0.0,CHECK_FALL
2026-04-21T16:53:07.860,-0.218,1.041,-0.097,-10.481,-12.927,-5.682,1.068,17.585,5,0.0,CHECK_FALL
2026-04-21T16:53:07.876,-0.17,1.044,-0.034,-2.851,-15.447,7.198,1.058,17.279,3,0.0,CHECK_FALL
2026-04-21T16:53:07.876,-0.216,0.962,-0.153,-10.201,-10.757,-5.752,0.998,15.902,5,0.0,CHECK_FALL
2026-04-21T16:53:07.876,-0.225,1.038,-0.119,-6.351,-11.037,-4.912,1.068,13.648,5,0.0,CHECK_FALL
2026-04-21T16:53:07.876,-0.206,1.014,-0.087,-6.141,-9.217,-4.702,1.039,12.032,5,0.0,CHECK_FALL
2026-04-21T16:53:07.891,-0.2,0.996,-0.072,-4.741,-6.347,-5.542,1.018,9.668,5,0.0,CHECK_FALL
2026-04-21T16:53:07.891,-0.201,0.987,-0.055,-4.251,-3.267,-5.332,1.009,7.561,4,0.0,CHECK_FALL
2026-04-21T16:53:07.891,-0.192,0.982,-0.032,-3.971,0.583,-5.542,1.001,6.842,5,0.0,CHECK_FALL
2026-04-21T16:53:07.908,-0.187,0.972,-0.036,-3.761,3.523,-5.682,0.99,7.67,5,0.0,CHECK_FALL
2026-04-21T16:53:07.908,-0.19,0.975,-0.054,-1.941,5.133,-5.402,0.994,7.7,5,0.0,CHECK_FALL
2026-04-21T16:53:07.908,-0.194,0.976,-0.047,-0.261,4.363,-5.332,0.996,6.894,3,0.0,CHECK_FALL
2026-04-21T16:53:07.925,-0.168,0.971,-0.046,0.159,1.913,-6.242,0.986,6.53,8,0.0,CHECK_FALL
2026-04-21T16:53:07.935,-0.181,0.994,-0.046,-1.941,-2.147,-6.032,1.011,6.69,10,0.0,CHECK_FALL
2026-04-21T16:53:07.945,-0.191,0.989,-0.074,-2.221,-5.297,-6.452,1.01,8.638,10,0.0,CHECK_FALL
2026-04-21T16:53:07.946,-0.197,0.994,-0.089,-3.131,-6.417,-5.612,1.017,9.082,10,0.0,CHECK_FALL
2026-04-21T16:53:07.962,-0.219,0.984,-0.081,-3.411,-3.547,-3.932,1.012,6.299,10,0.0,CHECK_FALL
2026-04-21T16:53:07.962,-0.218,0.98,-0.078,-2.151,-1.307,-2.882,1.007,3.826,10,0.0,CHECK_FALL
2026-04-21T16:53:07.978,-0.217,0.976,-0.079,-0.471,-1.167,-2.182,1.003,2.519,10,0.0,CHECK_FALL
2026-04-21T16:53:07.994,-0.218,1.005,-0.052,-1.241,-3.617,-0.852,1.03,3.918,10,0.0,CHECK_FALL
2026-04-21T16:53:07.994,-0.215,1.024,-0.057,-2.571,-5.647,-0.432,1.048,6.22,10,0.0,CHECK_FALL
2026-04-21T16:53:08.011,-0.205,1.028,-0.081,-2.291,-6.417,-0.222,1.052,6.818,10,0.0,CHECK_FALL
2026-04-21T16:53:08.027,-0.197,1.03,-0.099,-0.821,-5.717,-0.362,1.054,5.787,10,0.0,CHECK_FALL
2026-04-21T16:53:08.037,-0.193,1.021,-0.107,1.209,-4.247,-0.642,1.045,4.462,10,0.0,CHECK_FALL
2026-04-21T16:53:08.037,-0.19,1.017,-0.106,2.049,-1.307,-0.572,1.04,2.497,9,0.0,CHECK_FALL
2026-04-21T16:53:08.053,-0.189,1.012,-0.085,3.519,0.233,-0.292,1.033,3.539,11,0.0,CHECK_FALL
2026-04-21T16:53:08.064,-0.196,1.002,-0.063,3.729,0.863,0.058,1.023,3.828,10,0.0,CHECK_FALL
2026-04-21T16:53:08.064,-0.195,1.003,-0.053,3.309,0.373,0.268,1.024,3.341,10,0.0,CHECK_FALL
2026-04-21T16:53:08.081,-0.196,1.01,-0.054,3.169,-0.187,0.548,1.031,3.221,9,0.0,CHECK_FALL
2026-04-21T16:53:08.097,-0.192,1.004,-0.065,4.079,-0.607,0.338,1.024,4.138,11,0.0,CHECK_FALL
2026-04-21T16:53:08.097,-0.179,0.999,-0.077,4.149,-1.237,-0.222,1.018,4.335,10,0.0,CHECK_FALL
2026-04-21T16:53:08.113,-0.176,0.995,-0.098,4.289,-0.887,-0.852,1.015,4.462,10,0.0,CHECK_FALL
2026-04-21T16:53:08.113,-0.18,1.004,-0.106,4.149,-3.337,-1.132,1.025,5.443,10,0.0,CHECK_FALL
2026-04-21T16:53:08.129,-0.19,1.005,-0.105,4.149,-6.137,-1.412,1.029,7.541,10,0.0,CHECK_FALL
2026-04-21T16:53:08.138,-0.203,1.014,-0.095,3.799,-6.767,-1.482,1.039,7.901,10,0.0,CHECK_FALL
2026-04-21T16:53:08.156,-0.214,1.02,-0.083,2.259,-4.597,-1.622,1.045,5.373,10,0.0,CHECK_FALL
2026-04-21T16:53:08.165,-0.215,1.02,-0.081,2.049,-1.797,-1.762,1.045,3.245,10,0.0,CHECK_FALL
2026-04-21T16:53:08.175,-0.219,1.021,-0.074,2.959,0.303,-1.972,1.046,3.568,10,0.0,CHECK_FALL
2026-04-21T16:53:08.185,-0.215,1.017,-0.062,2.469,1.073,-2.112,1.042,3.421,10,0.0,CHECK_FALL
2026-04-21T16:53:08.185,-0.21,1.017,-0.071,2.119,-0.747,-2.042,1.041,3.036,10,0.0,CHECK_FALL
2026-04-21T16:53:08.202,-0.209,1.018,-0.088,1.769,-3.407,-2.042,1.043,4.348,10,0.0,CHECK_FALL
2026-04-21T16:53:08.213,-0.212,1.016,-0.089,1.909,-5.087,-2.322,1.042,5.909,10,0.0,CHECK_FALL
2026-04-21T16:53:08.224,-0.212,1.024,-0.093,1.559,-6.207,-2.392,1.05,6.832,10,0.0,CHECK_FALL
2026-04-21T16:53:08.235,-0.217,1.025,-0.091,1.069,-4.947,-2.532,1.052,5.659,10,0.0,CHECK_FALL
2026-04-21T16:53:08.243,-0.215,1.016,-0.078,1.139,-1.797,-2.602,1.041,3.361,10,0.0,CHECK_FALL
2026-04-21T16:53:08.252,-0.213,1.006,-0.065,1.559,0.093,-2.392,1.03,2.856,10,0.0,CHECK_FALL
2026-04-21T16:53:08.252,-0.208,0.999,-0.05,1.559,0.443,-2.392,1.022,2.889,10,0.0,CHECK_FALL
2026-04-21T16:53:08.268,-0.2,0.995,-0.036,0.999,-0.537,-2.042,1.016,2.335,10,0.0,CHECK_FALL
2026-04-21T16:53:08.278,-0.198,0.997,-0.022,-0.121,-0.537,-1.832,1.017,1.913,10,0.0,CHECK_FALL
2026-04-21T16:53:08.295,-0.19,0.998,-0.042,-0.051,-2.287,-2.392,1.017,3.31,9,0.0,CHECK_FALL
2026-04-21T16:53:08.295,-0.189,1.001,-0.043,0.719,-4.597,-2.882,1.02,5.473,11,0.0,CHECK_FALL
2026-04-21T16:53:08.311,-0.192,1.01,-0.033,0.719,-4.877,-3.162,1.029,5.857,10,0.0,CHECK_FALL
2026-04-21T16:53:08.326,-0.197,1.018,-0.03,-0.191,-5.787,-3.442,1.037,6.736,10,0.0,CHECK_FALL
2026-04-21T16:53:08.326,-0.195,1.019,-0.032,-1.381,-6.137,-3.932,1.038,7.418,9,0.0,CHECK_FALL
2026-04-21T16:53:08.342,-0.199,1.017,-0.016,-2.641,-5.577,-4.142,1.036,7.432,11,0.0,CHECK_FALL
2026-04-21T16:53:08.353,-0.205,1.027,-0.025,-2.781,-6.767,-3.722,1.047,8.209,10,0.0,CHECK_FALL
2026-04-21T16:53:08.353,-0.205,1.039,-0.011,-3.411,-8.517,-3.442,1.059,9.799,10,0.0,CHECK_FALL
2026-04-21T16:53:08.369,-0.205,1.044,-0.01,-4.111,-10.407,-3.092,1.064,11.609,10,0.0,CHECK_FALL
2026-04-21T16:53:08.379,-0.206,1.056,-0.013,-4.041,-13.557,-3.792,1.076,14.646,10,0.0,CHECK_FALL
2026-04-21T16:53:08.395,-0.208,1.07,-0.016,-3.341,-18.737,-4.562,1.09,19.572,10,0.0,CHECK_FALL
2026-04-21T16:53:08.395,-0.21,1.085,0.018,-3.131,-19.857,-5.822,1.105,20.929,10,0.0,CHECK_FALL
2026-04-21T16:53:08.411,-0.214,1.102,0.034,-5.371,-19.227,-5.542,1.124,20.718,10,0.0,IDLE_FALL
2026-04-21T16:53:08.428,-0.212,1.1,0.006,-6.141,-18.737,-4.982,1.12,20.337,10,0.0,IDLE_FALL
2026-04-21T16:53:08.428,-0.205,1.085,0.002,-3.761,-20.977,-4.912,1.104,21.87,10,0.0,IDLE_FALL
2026-04-21T16:53:08.447,-0.186,1.053,0.048,-6.211,-17.897,-6.032,1.071,19.881,10,0.0,IDLE_FALL
2026-04-21T16:53:08.454,-0.197,1.052,0.03,-6.771,-18.877,-5.052,1.071,20.681,10,0.0,IDLE_FALL
2026-04-21T16:53:08.458,-0.209,1.054,0.044,-7.121,-20.137,-4.702,1.075,21.871,10,0.0,IDLE_FALL
2026-04-21T16:53:08.475,-0.208,1.025,0.077,-7.401,-20.417,-4.282,1.049,22.135,10,0.0,IDLE_FALL
2026-04-21T16:53:08.485,-0.231,1.017,0.087,-5.721,-20.837,-3.372,1.046,21.87,10,0.0,IDLE_FALL
2026-04-21T16:53:08.485,-0.244,1.03,0.071,-3.201,-25.037,-1.692,1.061,25.298,10,0.0,IDLE_FALL
2026-04-21T16:53:08.501,-0.238,1.037,0.072,-3.201,-29.447,-0.502,1.066,29.625,10,0.0,IDLE_FALL
2026-04-21T16:53:08.518,-0.222,1.035,0.055,-3.481,-34.137,0.058,1.06,34.314,10,0.0,IDLE_FALL
2026-04-21T16:53:08.518,-0.226,1.049,0.04,-4.881,-38.197,-0.012,1.074,38.508,10,0.0,IDLE_FALL
2026-04-21T16:53:08.534,-0.207,1.068,0.036,-5.791,-45.407,-0.852,1.088,45.783,10,0.0,IDLE_FALL
2026-04-21T16:53:08.534,-0.214,1.105,0.005,-12.301,-52.477,-0.572,1.126,53.903,9,0.0,IDLE_FALL
2026-04-21T16:53:08.554,-0.214,1.115,-0.035,-16.571,-55.697,-1.132,1.136,58.121,11,0.0,IDLE_FALL
2026-04-21T16:53:08.560,-0.217,1.074,-0.056,-18.741,-51.357,-2.812,1.097,54.742,10,0.0,IDLE_FALL
2026-04-21T16:53:08.576,-0.245,1.104,-0.089,-18.461,-47.717,-1.622,1.135,51.19,10,0.0,IDLE_FALL
2026-04-21T16:53:08.586,-0.25,1.076,-0.057,-18.251,-43.727,-1.692,1.106,47.413,9,0.0,IDLE_FALL
2026-04-21T16:53:08.586,-0.246,1.026,-0.018,-17.341,-39.247,-1.412,1.056,42.931,11,0.0,IDLE_FALL
2026-04-21T16:53:08.603,-0.244,1.027,-0.01,-17.831,-39.317,-0.922,1.055,43.182,10,0.0,IDLE_FALL
2026-04-21T16:53:08.603,-0.237,1.006,0.01,-19.161,-40.367,-0.362,1.034,44.685,10,0.0,IDLE_FALL
2026-04-21T16:53:08.619,-0.218,0.994,-0.001,-18.181,-44.357,-0.432,1.017,47.941,10,0.0,IDLE_FALL
2026-04-21T16:53:08.635,-0.191,0.983,0.02,-18.531,-47.367,-1.832,1.002,50.896,10,0.0,IDLE_FALL
2026-04-21T16:53:08.635,-0.193,0.991,-0.033,-16.641,-53.877,-1.622,1.01,56.412,10,0.0,IDLE_FALL
2026-04-21T16:53:08.651,-0.185,1.012,-0.038,-15.941,-62.487,-1.552,1.03,64.507,10,0.0,IDLE_FALL
2026-04-21T16:53:08.662,-0.185,1.025,-0.012,-19.721,-72.077,-1.552,1.041,74.743,10,0.0,IDLE_FALL
2026-04-21T16:53:08.678,-0.188,1.009,-0.063,-25.881,-74.947,-0.362,1.028,79.291,10,0.0,IDLE_FALL
2026-04-21T16:53:08.688,-0.19,1.005,-0.08,-28.961,-78.727,-1.552,1.026,83.9,10,0.0,IDLE_FALL
2026-04-21T16:53:08.694,-0.199,0.98,-0.126,-29.381,-81.107,-1.902,1.008,86.286,10,0.0,IDLE_FALL
2026-04-21T16:53:08.702,-0.213,0.96,-0.163,-28.331,-81.947,-1.552,0.997,86.72,10,0.0,IDLE_FALL
2026-04-21T16:53:08.717,-0.205,0.936,-0.164,-25.601,-83.277,-1.902,0.972,87.144,10,0.0,IDLE_FALL
2026-04-21T16:53:08.717,-0.198,0.939,-0.178,-23.431,-88.597,-1.202,0.976,91.651,10,0.0,IDLE_FALL
2026-04-21T16:53:08.734,-0.21,0.937,-0.162,-23.011,-93.987,-0.152,0.973,96.763,10,0.0,IDLE_FALL
2026-04-21T16:53:08.734,-0.22,0.918,-0.159,-24.341,-98.537,1.458,0.957,101.51,10,0.0,IDLE_FALL
2026-04-21T16:53:08.750,-0.212,0.907,-0.179,-26.231,-104.487,2.788,0.949,107.766,10,0.0,IDLE_FALL
2026-04-21T16:53:08.766,-0.196,0.931,-0.227,-25.741,-109.527,3.418,0.978,112.563,10,0.0,IDLE_FALL
2026-04-21T16:53:08.776,-0.198,0.959,-0.27,-23.081,-117.647,3.838,1.016,119.951,10,0.0,IDLE_FALL
2026-04-21T16:53:08.776,-0.209,0.965,-0.292,-20.911,-126.047,4.188,1.03,127.839,10,0.0,IDLE_FALL
2026-04-21T16:53:08.794,-0.21,0.977,-0.307,-20.071,-134.097,5.098,1.045,135.687,9,0.0,IDLE_FALL
2026-04-21T16:53:08.802,-0.191,0.964,-0.333,-18.671,-142.427,4.888,1.038,143.729,11,0.0,IDLE_FALL
2026-04-21T16:53:08.818,-0.164,0.953,-0.351,-18.741,-147.397,4.468,1.029,148.651,10,0.0,IDLE_FALL
2026-04-21T16:53:08.818,-0.147,0.936,-0.36,-20.211,-151.597,2.298,1.014,152.956,10,0.0,IDLE_FALL
2026-04-21T16:53:08.834,-0.112,0.912,-0.353,-22.661,-159.297,1.878,0.984,160.912,9,0.0,IDLE_FALL
2026-04-21T16:53:08.834,-0.075,0.879,-0.425,-28.821,-163.637,-1.132,0.98,166.16,11,0.0,IDLE_FALL
2026-04-21T16:53:08.850,-0.075,0.853,-0.522,-31.131,-170.707,-4.422,1.003,173.579,10,0.0,IDLE_FALL
2026-04-21T16:53:08.865,-0.057,0.827,-0.627,-31.131,-174.347,-8.342,1.039,177.301,10,0.0,IDLE_FALL
2026-04-21T16:53:08.865,-0.09,0.777,-0.682,-28.261,-173.157,-12.612,1.037,175.901,10,0.0,IDLE_FALL
2026-04-21T16:53:08.881,-0.185,0.724,-0.58,-26.581,-164.407,-15.902,0.946,167.3,10,0.0,IDLE_FALL
