timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-21T16:44:27.587,-0.102,1.043,-0.055,10.239,-4.877,0.968,1.05,11.382,10,0.0,IDLE_FALL
2026-04-21T16:44:27.587,-0.105,1.043,-0.058,9.609,-4.527,1.248,1.05,10.695,10,0.0,IDLE_FALL
2026-04-21T16:44:27.587,-0.108,1.037,-0.055,9.469,-3.757,0.968,1.044,10.233,9,0.0,IDLE_FALL
2026-04-21T16:44:27.587,-0.111,1.027,-0.049,9.049,-3.127,0.968,1.035,9.623,11,0.0,IDLE_FALL
2026-04-21T16:44:27.587,-0.117,1.022,-0.042,7.579,-2.427,0.828,1.03,8.001,10,0.0,IDLE_FALL
2026-04-21T16:44:27.587,-0.092,1.017,-0.043,-5.441,2.963,-0.712,1.022,6.236,267,0.0,IDLE_FALL
2026-04-21T16:44:27.587,-0.095,1.025,-0.043,-5.511,3.383,-0.642,1.03,6.498,4,0.0,IDLE_FALL
2026-04-21T16:44:27.606,-0.095,1.028,-0.042,-5.511,3.943,-0.572,1.034,6.8,5,0.0,IDLE_FALL
2026-04-21T16:44:27.612,-0.096,1.024,-0.042,-5.791,4.153,-0.852,1.029,7.177,4,0.0,IDLE_FALL
2026-04-21T16:44:27.616,-0.097,1.024,-0.041,-5.791,4.433,-1.272,1.029,7.403,5,0.0,IDLE_FALL
2026-04-21T16:44:27.621,-0.097,1.028,-0.041,-5.931,4.853,-1.412,1.034,7.792,5,0.0,IDLE_FALL
2026-04-21T16:44:27.622,-0.099,1.031,-0.045,-5.791,4.993,-1.552,1.036,7.802,4,0.0,IDLE_FALL
2026-04-21T16:44:27.632,-0.099,1.03,-0.042,-5.861,5.343,-1.692,1.036,8.109,5,0.0,IDLE_FALL
2026-04-21T16:44:27.632,-0.1,1.032,-0.049,-5.791,5.413,-1.902,1.038,8.152,5,0.0,IDLE_FALL
2026-04-21T16:44:27.632,-0.104,1.039,-0.047,-5.931,5.553,-1.832,1.045,8.329,5,0.0,IDLE_FALL
2026-04-21T16:44:27.642,-0.106,1.038,-0.046,-6.351,5.413,-1.692,1.045,8.514,4,0.0,IDLE_FALL
2026-04-21T16:44:27.649,-0.107,1.039,-0.04,-6.841,5.483,-1.692,1.045,8.929,4,0.0,IDLE_FALL
2026-04-21T16:44:27.653,-0.11,1.037,-0.04,-7.541,5.413,-1.622,1.044,9.423,5,0.0,IDLE_FALL
2026-04-21T16:44:27.658,-0.113,1.038,-0.042,-8.381,5.343,-1.552,1.045,10.06,5,0.0,IDLE_FALL
2026-04-21T16:44:27.663,-0.113,1.041,-0.042,-8.801,5.413,-1.342,1.047,10.419,5,0.0,IDLE_FALL
2026-04-21T16:44:27.667,-0.115,1.041,-0.043,-9.221,5.343,-1.552,1.049,10.769,5,0.0,IDLE_FALL
2026-04-21T16:44:27.672,-0.121,1.037,-0.043,-9.501,5.483,-1.412,1.045,11.06,4,0.0,IDLE_FALL
2026-04-21T16:44:27.677,-0.124,1.041,-0.041,-9.641,5.553,-1.342,1.049,11.206,5,0.0,IDLE_FALL
2026-04-21T16:44:27.682,-0.122,1.044,-0.044,-10.201,5.553,-1.272,1.052,11.684,5,0.0,IDLE_FALL
2026-04-21T16:44:27.686,-0.121,1.042,-0.045,-10.341,5.623,-1.062,1.05,11.819,4,0.0,IDLE_FALL
2026-04-21T16:44:27.691,-0.121,1.042,-0.043,-10.341,5.833,-1.062,1.05,11.92,5,0.0,IDLE_FALL
2026-04-21T16:44:27.696,-0.121,1.045,-0.044,-10.341,5.483,-0.922,1.053,11.741,4,0.0,IDLE_FALL
2026-04-21T16:44:27.698,-0.12,1.046,-0.04,-10.551,5.413,-0.782,1.054,11.884,5,0.0,IDLE_FALL
2026-04-21T16:44:27.698,-0.121,1.05,-0.038,-10.341,5.483,-0.852,1.058,11.736,5,0.0,IDLE_FALL
2026-04-21T16:44:27.698,-0.123,1.05,-0.031,-10.621,5.623,-0.922,1.058,12.053,5,0.0,IDLE_FALL
2026-04-21T16:44:27.713,-0.119,1.051,-0.029,-10.621,5.903,-0.852,1.058,12.181,5,0.0,IDLE_FALL
2026-04-21T16:44:27.713,-0.128,1.046,-0.018,-10.761,6.183,-0.992,1.054,12.45,5,0.0,IDLE_FALL
2026-04-21T16:44:27.724,-0.128,1.044,-0.013,-11.251,6.603,-0.992,1.052,13.083,4,0.0,IDLE_FALL
2026-04-21T16:44:27.724,-0.124,1.043,-0.01,-11.391,6.743,-1.202,1.05,13.292,4,0.0,IDLE_FALL
2026-04-21T16:44:27.724,-0.121,1.041,-0.005,-11.671,7.023,-1.062,1.049,13.662,5,0.0,IDLE_FALL
2026-04-21T16:44:27.724,-0.116,1.037,-0.0,-12.021,7.023,-0.992,1.044,13.957,5,0.0,IDLE_FALL
2026-04-21T16:44:27.740,-0.114,1.035,0.001,-12.091,7.163,-1.132,1.041,14.099,5,0.0,IDLE_FALL
2026-04-21T16:44:27.740,-0.111,1.029,0.004,-12.021,7.163,-1.062,1.035,14.033,5,0.0,IDLE_FALL
2026-04-21T16:44:27.740,-0.108,1.025,0.005,-12.161,7.093,-1.202,1.031,14.13,4,0.0,IDLE_FALL
2026-04-21T16:44:27.756,-0.104,1.021,0.01,-12.231,6.953,-1.202,1.026,14.12,5,0.0,IDLE_FALL
2026-04-21T16:44:27.756,-0.105,1.018,0.012,-12.371,6.673,-1.272,1.024,14.113,5,0.0,IDLE_FALL
2026-04-21T16:44:27.756,-0.102,1.019,0.012,-12.721,6.673,-1.272,1.024,14.421,4,0.0,IDLE_FALL
2026-04-21T16:44:27.771,-0.102,1.021,0.011,-13.001,6.253,-1.132,1.027,14.471,5,0.0,IDLE_FALL
2026-04-21T16:44:27.771,-0.106,1.026,0.014,-13.141,6.043,-1.132,1.032,14.508,4,0.0,IDLE_FALL
2026-04-21T16:44:27.771,-0.106,1.028,0.011,-13.561,5.973,-0.852,1.034,14.843,5,0.0,IDLE_FALL
2026-04-21T16:44:27.782,-0.104,1.033,0.004,-13.771,5.903,-0.502,1.038,14.991,5,0.0,IDLE_FALL
2026-04-21T16:44:27.782,-0.107,1.035,0.001,-13.771,5.623,-0.572,1.04,14.886,5,0.0,IDLE_FALL
2026-04-21T16:44:27.782,-0.11,1.039,-0.006,-13.701,5.203,-0.572,1.045,14.667,5,0.0,IDLE_FALL
2026-04-21T16:44:27.798,-0.108,1.042,-0.014,-13.141,4.363,-0.782,1.048,13.868,5,0.0,IDLE_FALL
2026-04-21T16:44:27.798,-0.115,1.047,-0.016,-12.441,2.963,-0.992,1.053,12.827,4,0.0,IDLE_FALL
2026-04-21T16:44:27.798,-0.117,1.051,-0.004,-11.951,1.703,-1.552,1.057,12.171,4,0.0,IDLE_FALL
2026-04-21T16:44:27.813,-0.119,1.049,0.004,-12.021,1.633,-2.112,1.056,12.314,5,0.0,IDLE_FALL
2026-04-21T16:44:27.813,-0.125,1.064,0.01,-13.141,4.643,-1.132,1.071,13.983,5,0.0,IDLE_FALL
2026-04-21T16:44:27.813,-0.135,1.084,0.037,-13.211,7.443,0.548,1.093,15.173,5,0.0,IDLE_FALL
2026-04-21T16:44:27.829,-0.139,1.054,0.062,-15.521,7.233,0.548,1.065,17.132,8,0.0,IDLE_FALL
