timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-14T16:20:19.085,-0.632,-0.129,0.258,41.739,60.993,51.858,0.694,90.286,10,0.0,IDLE_FALL
2026-04-14T16:20:19.101,-0.565,-0.073,0.227,55.179,73.943,55.218,0.613,107.524,10,0.0,CHECK_FALL
2026-04-14T16:20:19.116,-0.565,-0.046,0.252,63.789,87.593,53.398,0.62,120.801,10,0.0,CHECK_FALL
2026-04-14T16:20:19.116,-0.54,-0.04,0.222,57.419,107.193,51.228,0.585,131.953,10,0.0,CHECK_FALL
2026-04-14T16:20:19.132,-0.715,0.003,0.231,27.879,124.063,35.408,0.752,131.995,10,0.0,CHECK_FALL
2026-04-14T16:20:19.148,-0.764,-0.018,0.349,0.509,140.863,39.818,0.84,146.383,10,0.0,CHECK_FALL
2026-04-14T16:20:19.149,-1.012,-0.037,0.485,-40.301,147.373,45.348,1.123,159.372,10,0.0,CHECK_FALL
2026-04-14T16:20:19.166,-1.217,0.006,0.513,-103.791,119.023,51.228,1.321,166.022,10,0.0,CHECK_FALL
2026-04-14T16:20:19.175,-1.175,-0.025,0.775,-97.211,147.513,56.828,1.408,185.579,10,0.0,CHECK_FALL
2026-04-14T16:20:19.186,-1.065,0.049,0.207,-109.671,94.733,60.538,1.086,157.057,9,0.0,CHECK_FALL
2026-04-14T16:20:19.195,-1.163,0.1,-0.434,-25.601,53.923,54.658,1.245,80.936,11,0.0,CHECK_FALL
2026-04-14T16:20:19.195,-1.339,0.203,-0.253,21.859,71.003,29.668,1.378,79.996,10,0.0,CHECK_FALL
2026-04-14T16:20:19.212,-1.399,0.252,-0.105,33.059,91.373,-22.272,1.425,99.689,10,0.0,CHECK_FALL
2026-04-14T16:20:19.212,-1.184,0.157,-0.134,38.799,90.743,-53.702,1.202,112.354,9,0.0,CHECK_FALL
2026-04-14T16:20:19.228,-0.948,-0.036,-0.046,53.849,53.853,-57.762,0.95,95.584,11,0.0,CHECK_FALL
2026-04-14T16:20:19.244,-0.862,-0.142,0.025,86.749,21.583,-57.622,0.874,106.355,10,0.0,CHECK_FALL
2026-04-14T16:20:19.244,-0.768,-0.176,0.302,116.359,-2.777,-93.462,0.844,149.272,10,0.0,CHECK_FALL
2026-04-14T16:20:19.260,-0.705,-0.289,0.503,105.719,-0.467,-120.902,0.913,160.605,10,0.0,CHECK_FALL
2026-04-14T16:20:19.275,-0.741,-0.377,0.384,89.199,12.273,-140.432,0.916,166.818,10,0.0,CHECK_FALL
2026-04-14T16:20:19.286,-0.708,-0.497,0.453,63.929,22.283,-149.252,0.977,163.889,10,0.0,CHECK_FALL
2026-04-14T16:20:19.286,-0.768,-0.359,0.012,71.209,10.803,-144.492,0.847,161.447,10,0.0,CHECK_FALL
2026-04-14T16:20:19.303,-0.81,-0.137,0.179,115.939,14.233,-116.142,0.841,164.722,10,0.0,CHECK_FALL
2026-04-14T16:20:19.303,-0.946,-0.057,0.6,130.499,76.533,-27.592,1.122,153.781,10,0.0,CHECK_FALL
2026-04-14T16:20:19.319,-1.049,-0.273,0.775,82.619,141.563,34.288,1.332,167.456,10,0.0,CHECK_FALL
2026-04-14T16:20:19.335,-1.249,-0.623,1.053,3.869,207.573,81.818,1.748,223.149,10,0.0,CHECK_FALL
2026-04-14T16:20:19.335,-1.664,-0.968,1.29,-127.941,241.453,92.248,2.318,288.406,10,0.0,CHECK_FALL
2026-04-14T16:20:19.350,-2.226,-0.761,1.404,-301.051,194.343,90.848,2.74,369.668,10,0.0,CHECK_FALL
2026-04-14T16:20:19.365,-2.393,-0.363,1.18,-367.971,169.493,66.488,2.693,410.55,10,0.0,CHECK_FALL
