timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-14T16:22:19.711,0.446,0.08,0.095,-40.511,-15.517,-39.422,0.463,58.617,10,0.0,IDLE_FALL
2026-04-14T16:22:19.711,0.329,0.1,-0.085,-29.031,-16.847,-45.582,0.354,56.607,9,0.0,CHECK_FALL
2026-04-14T16:22:19.726,0.344,0.097,-0.243,0.929,-48.067,-60.422,0.432,77.215,11,0.0,CHECK_FALL
2026-04-14T16:22:19.743,0.421,0.125,-0.337,45.659,-77.397,-76.102,0.553,117.756,10,0.0,CHECK_FALL
2026-04-14T16:22:19.752,0.68,0.09,-0.419,60.709,-130.667,-85.062,0.804,167.317,10,0.0,CHECK_FALL
2026-04-14T16:22:19.757,1.081,0.131,-0.57,44.679,-197.377,-83.382,1.229,218.875,10,0.0,CHECK_FALL
2026-04-14T16:22:19.772,1.217,0.091,-0.617,19.689,-248.547,-96.682,1.367,267.415,10,0.0,CHECK_FALL
2026-04-14T16:22:19.775,1.282,0.052,-0.873,-20.701,-313.647,-112.642,1.552,333.903,10,0.0,CHECK_FALL
2026-04-14T16:22:19.790,1.938,-0.13,-1.292,18.289,-372.027,-43.902,2.333,375.055,10,0.0,CHECK_FALL
2026-04-14T16:22:19.801,1.969,-0.008,-0.614,103.549,-290.617,63.478,2.063,314.977,10,0.0,CHECK_FALL
2026-04-14T16:22:19.807,0.956,-0.091,0.299,145.689,-62.557,96.518,1.005,185.619,10,0.0,CHECK_FALL
2026-04-14T16:22:19.812,0.545,-0.032,0.188,167.039,93.753,60.118,0.578,200.763,10,0.0,CHECK_FALL
2026-04-14T16:22:19.832,0.692,0.049,0.352,125.109,126.583,-10.652,0.778,178.294,10,0.0,CHECK_FALL
2026-04-14T16:22:19.834,1.38,-0.048,0.74,-44.011,89.973,-112.152,1.567,150.366,10,0.0,CHECK_FALL
2026-04-14T16:22:19.845,2.106,-0.45,0.166,-244.071,114.543,-144.212,2.16,305.758,10,0.0,CHECK_FALL
2026-04-14T16:22:19.859,3.165,-1.001,-2.03,-212.711,130.013,-80.722,3.891,262.041,10,0.0,CHECK_FALL
2026-04-14T16:22:19.869,2.818,-0.724,-2.753,-73.341,-150.897,59.838,4.006,178.128,10,0.0,CHECK_FALL
2026-04-14T16:22:19.869,1.928,0.056,-0.233,-50.941,-254.987,63.128,1.943,267.579,10,0.0,CHECK_FALL
2026-04-14T16:22:19.893,1.395,0.27,0.25,-122.061,-157.057,33.868,1.443,201.775,10,0.0,CHECK_FALL
2026-04-14T16:22:19.898,1.386,0.098,-0.264,-121.151,-172.597,51.718,1.414,217.123,10,0.0,CHECK_FALL
2026-04-14T16:22:19.898,1.247,0.06,-0.279,-65.221,-174.487,72.088,1.279,199.741,10,0.0,CHECK_FALL
2026-04-14T16:22:19.915,1.169,-0.026,-0.319,-35.961,-143.267,90.918,1.212,173.45,10,0.0,CHECK_FALL
2026-04-14T16:22:19.931,0.978,-0.159,-0.405,-29.171,-105.327,110.588,1.07,155.482,9,0.0,CHECK_FALL
2026-04-14T16:22:19.945,0.621,-0.22,-0.461,-51.291,-44.427,115.768,0.804,134.19,11,0.0,CHECK_FALL
2026-04-14T16:22:19.946,0.47,-0.28,-0.511,-67.671,-15.587,106.318,0.748,126.988,10,0.0,CHECK_FALL
2026-04-14T16:22:19.961,0.434,-0.276,-0.496,-81.951,-7.327,80.068,0.715,114.807,10,0.0,CHECK_FALL
2026-04-14T16:22:19.972,0.365,-0.236,-0.481,-83.491,2.263,54.028,0.649,99.473,9,0.0,CHECK_FALL
2026-04-14T16:22:19.980,0.357,-0.219,-0.653,-69.141,1.283,28.478,0.776,74.787,11,0.0,CHECK_FALL
2026-04-14T16:22:19.992,0.471,-0.24,-0.68,-36.451,4.783,1.178,0.861,36.782,10,0.0,CHECK_FALL
