timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-14T16:36:50.581,0.107,-0.662,0.205,-5.371,-66.267,39.328,0.701,77.246,10,0.0,IDLE_FALL
2026-04-14T16:36:50.594,0.116,-0.419,-0.03,3.309,-60.387,44.648,0.436,75.173,10,0.0,CHECK_FALL
2026-04-14T16:36:50.603,0.108,-0.198,-0.079,-17.971,-34.557,51.788,0.239,64.801,10,0.0,CHECK_FALL
2026-04-14T16:36:50.603,0.116,0.005,0.115,-55.981,-3.617,57.808,0.163,80.553,10,0.0,CHECK_FALL
2026-04-14T16:36:50.624,0.135,0.092,0.272,-89.651,12.623,58.998,0.317,108.062,10,0.0,CHECK_FALL
2026-04-14T16:36:50.633,0.078,0.307,0.294,-89.091,22.703,57.388,0.432,108.379,10,0.0,CHECK_FALL
2026-04-14T16:36:50.633,-0.034,0.515,0.195,-63.751,26.833,48.148,0.551,84.276,10,0.0,CHECK_FALL
2026-04-14T16:36:50.655,-0.208,0.756,0.12,-25.111,28.233,31.628,0.793,49.275,9,0.0,CHECK_FALL
2026-04-14T16:36:50.655,-0.377,0.833,0.219,6.669,31.103,18.188,0.94,36.643,11,0.0,CHECK_FALL
2026-04-14T16:36:50.671,-0.376,0.524,0.25,20.599,36.563,2.788,0.692,42.059,10,0.0,CHECK_FALL
2026-04-14T16:36:50.671,-0.298,0.296,0.307,29.629,45.103,13.078,0.521,55.526,10,0.0,CHECK_FALL
2026-04-14T16:36:50.688,-0.254,0.194,0.312,29.279,49.723,27.988,0.447,64.132,9,0.0,CHECK_FALL
2026-04-14T16:36:50.698,-0.228,0.141,0.286,14.859,48.743,42.828,0.392,66.565,11,0.0,CHECK_FALL
2026-04-14T16:36:50.713,-0.212,0.076,0.209,3.309,46.923,57.948,0.308,74.637,10,0.0,CHECK_FALL
2026-04-14T16:36:50.713,-0.265,0.021,0.179,0.859,46.293,63.618,0.32,78.683,10,0.0,CHECK_FALL
2026-04-14T16:36:50.729,-0.171,-0.125,0.066,7.999,36.563,65.998,0.222,75.872,10,0.0,CHECK_FALL
2026-04-14T16:36:50.745,-0.21,-0.344,-0.006,26.269,28.513,58.228,0.403,69.954,10,0.0,CHECK_FALL
2026-04-14T16:36:50.745,-0.025,-0.615,-0.166,67.079,21.653,52.208,0.637,87.716,10,0.0,CHECK_FALL
2026-04-14T16:36:50.763,0.301,-0.881,-0.275,89.129,3.243,59.768,0.971,107.363,10,0.0,CHECK_FALL
2026-04-14T16:36:50.763,0.102,-1.023,0.617,100.189,31.103,75.168,1.199,129.056,10,0.0,CHECK_FALL
