timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-21T16:51:18.096,-0.122,0.68,0.387,-58.501,110.903,-5.612,0.792,125.512,10,0.0,IDLE_FALL
2026-04-21T16:51:18.111,-0.079,0.644,0.36,-50.731,111.953,-5.122,0.742,123.017,10,0.0,CHECK_FALL
2026-04-21T16:51:18.127,-0.086,0.643,0.362,-43.381,108.173,-8.762,0.743,116.876,10,0.0,CHECK_FALL
2026-04-21T16:51:18.127,-0.07,0.645,0.407,-36.801,107.403,-9.742,0.766,113.95,10,0.0,CHECK_FALL
2026-04-21T16:51:18.143,-0.069,0.677,0.447,-35.961,108.453,-9.392,0.814,114.645,10,0.0,CHECK_FALL
2026-04-21T16:51:18.153,-0.089,0.652,0.446,-28.331,115.803,-7.362,0.795,119.445,10,0.0,CHECK_FALL
2026-04-21T16:51:18.170,-0.103,0.662,0.472,-24.201,117.973,-4.002,0.82,120.496,10,0.0,CHECK_FALL
2026-04-21T16:51:18.170,-0.094,0.614,0.402,-20.351,118.253,-9.602,0.74,120.375,10,0.0,CHECK_FALL
2026-04-21T16:51:18.186,-0.047,0.679,0.366,-5.441,117.343,-11.912,0.773,118.071,10,0.0,CHECK_FALL
2026-04-21T16:51:18.201,-0.018,0.703,0.361,0.089,115.173,-14.082,0.791,116.03,10,0.0,CHECK_FALL
2026-04-21T16:51:18.202,-0.013,0.736,0.366,4.079,111.953,-11.562,0.822,112.622,10,0.0,CHECK_FALL
2026-04-21T16:51:18.218,-0.018,0.774,0.351,10.449,113.913,-6.802,0.85,114.593,10,0.0,CHECK_FALL
2026-04-21T16:51:18.218,-0.01,0.767,0.394,20.949,120.003,-3.442,0.862,121.866,10,0.0,CHECK_FALL
2026-04-21T16:51:18.233,0.04,0.784,0.47,21.089,121.613,-1.692,0.915,123.439,10,0.0,CHECK_FALL
2026-04-21T16:51:18.249,0.061,0.692,0.503,9.469,111.113,-9.532,0.857,111.922,10,0.0,CHECK_FALL
2026-04-21T16:51:18.259,0.069,0.608,0.456,-5.791,92.283,-15.552,0.763,93.763,10,0.0,CHECK_FALL
2026-04-21T16:51:18.259,0.104,0.494,0.325,-17.831,80.313,-24.162,0.601,85.743,10,0.0,CHECK_FALL
2026-04-21T16:51:18.276,0.088,0.543,0.275,-13.841,79.123,-21.782,0.615,83.225,10,0.0,CHECK_FALL
2026-04-21T16:51:18.276,0.069,0.564,0.343,-0.261,90.113,-14.712,0.663,91.306,10,0.0,CHECK_FALL
2026-04-21T16:51:18.291,0.084,0.495,0.465,16.889,103.693,-11.842,0.685,105.724,9,0.0,CHECK_FALL
2026-04-21T16:51:18.307,0.02,0.516,0.619,21.369,106.703,-4.702,0.806,108.923,11,0.0,CHECK_FALL
2026-04-21T16:51:18.307,0.003,0.467,0.679,23.749,108.173,-2.532,0.824,110.778,10,0.0,CHECK_FALL
2026-04-21T16:51:18.330,0.033,0.493,0.715,31.029,110.903,-1.412,0.869,115.17,10,0.0,CHECK_FALL
2026-04-21T16:51:18.335,0.108,0.514,0.724,36.559,117.203,0.198,0.894,122.772,9,0.0,CHECK_FALL
2026-04-21T16:51:18.342,0.173,0.598,0.667,44.679,123.083,5.098,0.913,131.04,11,0.0,CHECK_FALL
2026-04-21T16:51:18.358,0.252,0.547,0.678,51.259,125.533,1.948,0.907,135.609,10,0.0,CHECK_FALL
2026-04-21T16:51:18.367,0.28,0.563,0.527,60.149,125.673,1.388,0.821,139.332,10,0.0,CHECK_FALL
2026-04-21T16:51:18.375,0.186,0.73,0.618,58.399,114.823,20.638,0.975,130.463,10,0.0,CHECK_FALL
2026-04-21T16:51:18.391,0.11,0.654,0.95,23.889,106.493,32.048,1.158,113.747,10,0.0,CHECK_FALL
2026-04-21T16:51:18.391,-0.317,0.589,1.32,-12.721,108.383,29.248,1.48,112.978,10,0.0,CHECK_FALL
2026-04-21T16:51:18.406,-0.481,0.623,2.082,-22.311,96.413,-12.822,2.226,99.788,10,0.0,CHECK_FALL
2026-04-21T16:51:18.406,-0.512,1.133,2.307,79.049,52.173,28.758,2.62,98.984,10,0.0,CHECK_FALL
2026-04-21T16:51:18.422,-0.719,1.554,2.336,268.469,25.853,173.798,2.897,320.858,10,0.0,CHECK_FALL
2026-04-21T16:51:18.437,0.234,0.402,3.606,294.299,-4.037,188.708,3.636,349.627,10,0.0,CHECK_FALL
2026-04-21T16:51:18.437,0.596,-0.29,3.703,74.569,-122.337,166.938,3.762,219.989,10,0.0,CHECK_FALL
2026-04-21T16:51:18.453,0.948,-1.224,1.973,-30.291,-220.897,131.098,2.508,258.65,10,0.0,CHECK_FALL
2026-04-21T16:51:18.469,1.301,-1.16,0.238,-71.521,-199.057,27.008,1.76,213.233,10,0.0,CHECK_FALL
2026-04-21T16:51:18.480,0.932,-0.219,-1.161,93.539,-58.707,-39.702,1.504,117.355,10,0.0,CHECK_FALL
2026-04-21T16:51:18.480,0.347,0.57,-0.025,188.179,38.313,-40.472,0.668,196.258,10,0.0,CHECK_FALL
2026-04-21T16:51:18.495,0.191,0.509,1.534,110.549,30.053,-16.742,1.628,115.778,10,0.0,CHECK_FALL
2026-04-21T16:51:18.511,0.078,0.669,1.519,16.259,-48.697,-18.982,1.662,54.736,10,0.0,CHECK_FALL
2026-04-21T16:51:18.511,0.075,0.744,1.309,-24.551,-78.867,-11.072,1.508,83.339,10,0.0,CHECK_FALL
2026-04-21T16:51:18.528,-0.008,0.661,1.059,-28.331,-85.027,3.768,1.249,89.702,10,0.0,CHECK_FALL
2026-04-21T16:51:18.538,-0.169,0.521,0.949,-20.771,-96.717,23.508,1.096,101.677,10,0.0,CHECK_FALL
2026-04-21T16:51:18.538,-0.424,0.371,1.022,9.119,-101.827,35.828,1.168,108.331,9,0.0,CHECK_FALL
2026-04-21T16:51:18.553,-0.461,0.194,0.977,32.639,-84.397,41.918,1.098,99.726,11,0.0,CHECK_FALL
2026-04-21T16:51:18.569,-0.304,0.1,1.007,41.739,-62.277,27.078,1.057,79.711,10,0.0,CHECK_FALL
2026-04-21T16:51:18.569,-0.093,0.035,1.273,34.599,-54.227,20.148,1.276,67.407,10,0.0,CHECK_FALL
2026-04-21T16:51:18.586,0.154,-0.03,1.289,11.009,-71.657,5.168,1.298,72.682,9,0.0,CHECK_FALL
2026-04-21T16:51:18.595,0.416,-0.006,1.286,6.249,-80.897,1.738,1.351,81.157,11,0.0,CHECK_FALL
2026-04-21T16:51:18.611,0.714,-0.076,1.168,6.529,-83.417,-3.932,1.371,83.765,10,0.0,CHECK_FALL
2026-04-21T16:51:18.611,0.668,0.01,1.17,15.419,-85.727,-22.692,1.348,90.01,10,0.0,CHECK_FALL
2026-04-21T16:51:18.627,0.54,0.224,1.073,18.709,-60.737,-30.742,1.221,70.598,10,0.0,CHECK_FALL
2026-04-21T16:51:18.627,0.468,0.346,1.102,26.549,-18.737,-31.442,1.246,45.216,10,0.0,CHECK_FALL
2026-04-21T16:51:18.644,0.379,0.333,0.989,29.909,-0.887,-31.792,1.111,43.658,10,0.0,CHECK_FALL
2026-04-21T16:51:18.659,0.129,0.348,1.148,36.909,-8.377,-31.302,1.206,49.114,10,0.0,CHECK_FALL
2026-04-21T16:51:18.659,-0.012,0.381,1.296,18.709,-21.747,-28.222,1.351,40.242,10,0.0,CHECK_FALL
2026-04-21T16:51:18.677,-0.008,0.265,1.117,2.819,-20.557,-23.112,1.148,31.059,10,0.0,CHECK_FALL
2026-04-21T16:51:18.677,0.041,0.115,0.931,-3.621,-12.017,-23.112,0.939,26.3,10,0.0,CHECK_FALL
2026-04-21T16:51:18.693,0.094,-0.093,0.976,-3.201,-2.287,-28.642,0.985,28.91,10,0.0,CHECK_FALL
2026-04-21T16:51:18.704,0.015,0.137,1.244,13.669,-18.317,-26.892,1.251,35.292,10,0.0,CHECK_FALL
