timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-21T16:47:59.117,-0.202,0.755,0.157,-94.061,98.583,-16.742,0.797,137.282,10,0.0,IDLE_FALL
2026-04-21T16:47:59.135,-0.145,0.733,0.242,-83.841,89.273,-18.772,0.786,123.9,10,0.0,CHECK_FALL
2026-04-21T16:47:59.135,-0.129,0.766,0.405,-86.221,73.803,-20.102,0.876,115.261,10,0.0,CHECK_FALL
2026-04-21T16:47:59.152,-0.158,0.838,0.465,-101.411,56.863,-18.352,0.971,117.705,10,0.0,CHECK_FALL
2026-04-21T16:47:59.168,-0.2,0.901,0.46,-117.091,37.963,-15.202,1.031,124.027,10,0.0,CHECK_FALL
2026-04-21T16:47:59.168,-0.241,0.932,0.403,-129.341,24.033,-11.072,1.044,132.02,10,0.0,CHECK_FALL
2026-04-21T16:47:59.184,-0.305,0.939,0.35,-134.101,11.923,-6.312,1.048,134.778,10,0.0,CHECK_FALL
2026-04-21T16:47:59.184,-0.348,0.929,0.339,-132.071,4.783,-2.602,1.049,132.183,10,0.0,CHECK_FALL
2026-04-21T16:47:59.201,-0.393,0.886,0.358,-128.501,-1.097,0.688,1.033,128.508,10,0.0,CHECK_FALL
2026-04-21T16:47:59.201,-0.423,0.859,0.357,-124.581,-5.087,4.048,1.022,124.751,10,0.0,CHECK_FALL
2026-04-21T16:47:59.218,-0.44,0.819,0.331,-116.181,-5.437,6.078,0.987,116.467,10,0.0,CHECK_FALL
2026-04-21T16:47:59.227,-0.441,0.802,0.311,-108.971,-2.567,9.438,0.967,109.409,10,0.0,CHECK_FALL
2026-04-21T16:47:59.244,-0.426,0.789,0.282,-101.551,1.703,11.468,0.94,102.211,10,0.0,CHECK_FALL
2026-04-21T16:47:59.244,-0.426,0.805,0.276,-97.911,10.523,13.638,0.952,99.415,10,0.0,CHECK_FALL
2026-04-21T16:47:59.260,-0.417,0.824,0.276,-93.711,16.893,15.458,0.963,96.468,10,0.0,CHECK_FALL
2026-04-21T16:47:59.276,-0.432,0.841,0.304,-93.361,20.323,15.668,0.993,96.824,10,0.0,CHECK_FALL
2026-04-21T16:47:59.276,-0.419,0.846,0.35,-95.671,23.473,12.588,1.007,99.31,10,0.0,CHECK_FALL
2026-04-21T16:47:59.292,-0.416,0.925,0.401,-104.911,27.673,11.328,1.09,109.089,10,0.0,CHECK_FALL
2026-04-21T16:47:59.292,-0.382,0.913,0.4,-112.751,28.513,5.798,1.067,116.445,9,0.0,CHECK_FALL
2026-04-21T16:47:59.309,-0.355,0.907,0.401,-119.051,24.033,-2.812,1.053,121.485,11,0.0,CHECK_FALL
2026-04-21T16:47:59.327,-0.313,0.904,0.376,-123.951,21.933,-8.762,1.028,126.181,10,0.0,CHECK_FALL
