timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-21T16:39:04.508,0.049,0.68,0.383,-37.711,68.273,-25.982,0.782,82.209,10,0.0,IDLE_FALL
2026-04-21T16:39:04.524,0.049,0.635,0.382,-37.501,75.413,-24.162,0.742,87.62,10,0.0,CHECK_FALL
2026-04-21T16:39:04.541,0.064,0.586,0.383,-35.681,81.363,-22.972,0.703,91.765,10,0.0,CHECK_FALL
2026-04-21T16:39:04.541,0.066,0.534,0.398,-34.981,86.193,-21.152,0.669,95.395,10,0.0,CHECK_FALL
2026-04-21T16:39:04.556,0.072,0.467,0.408,-31.761,92.003,-20.102,0.624,99.385,10,0.0,CHECK_FALL
2026-04-21T16:39:04.556,0.079,0.434,0.426,-28.331,95.293,-19.262,0.614,101.264,9,0.0,CHECK_FALL
2026-04-21T16:39:04.583,0.059,0.39,0.454,-26.301,96.763,-18.912,0.601,102.041,11,0.0,CHECK_FALL
2026-04-21T16:39:04.584,0.063,0.359,0.481,-23.221,95.153,-20.522,0.604,100.072,10,0.0,CHECK_FALL
2026-04-21T16:39:04.600,0.078,0.351,0.495,-17.411,89.973,-22.482,0.612,94.359,10,0.0,CHECK_FALL
2026-04-21T16:39:04.611,0.086,0.368,0.503,-12.021,83.043,-23.392,0.629,87.108,9,0.0,CHECK_FALL
2026-04-21T16:39:04.611,0.119,0.42,0.496,-5.721,72.333,-24.162,0.661,76.476,11,0.0,CHECK_FALL
2026-04-21T16:39:04.632,0.138,0.487,0.478,3.029,64.003,-23.392,0.696,68.211,10,0.0,CHECK_FALL
2026-04-21T16:39:04.637,0.133,0.54,0.458,8.069,55.043,-20.592,0.72,59.32,10,0.0,CHECK_FALL
2026-04-21T16:39:04.637,0.085,0.576,0.483,9.609,45.873,-16.252,0.757,49.606,10,0.0,CHECK_FALL
2026-04-21T16:39:04.661,0.047,0.578,0.468,5.409,41.043,-15.412,0.745,44.173,10,0.0,CHECK_FALL
2026-04-21T16:39:04.670,0.023,0.585,0.504,-0.471,39.993,-15.692,0.773,42.964,10,0.0,CHECK_FALL
2026-04-21T16:39:04.683,0.003,0.6,0.509,-8.871,42.653,-16.532,0.787,46.597,10,0.0,CHECK_FALL
2026-04-21T16:39:04.696,-0.012,0.613,0.468,-16.711,47.973,-20.522,0.771,54.789,14,0.0,CHECK_FALL
2026-04-21T16:39:04.702,-0.017,0.625,0.468,-15.941,48.883,-21.502,0.781,55.731,6,0.0,CHECK_FALL
2026-04-21T16:39:04.712,-0.012,0.656,0.506,-12.021,48.183,-21.502,0.829,54.115,10,0.0,CHECK_FALL
2026-04-21T16:39:04.716,-0.018,0.685,0.563,-9.291,45.593,-20.872,0.887,50.997,10,0.0,CHECK_FALL
2026-04-21T16:39:04.731,-0.009,0.699,0.608,-5.861,44.333,-21.082,0.927,49.439,10,0.0,CHECK_FALL
2026-04-21T16:39:04.731,-0.002,0.692,0.673,-4.391,42.093,-18.142,0.965,46.046,10,0.0,CHECK_FALL
2026-04-21T16:39:04.748,0.019,0.654,0.718,-4.111,40.343,-14.922,0.971,43.21,10,0.0,CHECK_FALL
2026-04-21T16:39:04.764,0.065,0.629,0.726,-6.281,36.633,-14.292,0.963,39.82,10,0.0,CHECK_FALL
2026-04-21T16:39:04.764,0.091,0.63,0.7,-7.471,33.203,-13.802,0.946,36.725,10,0.0,CHECK_FALL
2026-04-21T16:39:04.780,0.144,0.647,0.651,-1.731,25.713,-13.242,0.929,28.974,10,0.0,CHECK_FALL
2026-04-21T16:39:04.780,0.169,0.712,0.655,7.999,18.853,-12.262,0.982,23.87,10,0.0,CHECK_FALL
2026-04-21T16:39:04.796,0.169,0.776,0.695,11.779,13.113,-10.302,1.055,20.416,10,0.0,CHECK_FALL
2026-04-21T16:39:04.806,0.135,0.838,0.751,8.769,10.593,-7.292,1.134,15.565,10,0.0,CHECK_FALL
2026-04-21T16:39:04.822,0.1,0.842,0.827,0.019,10.943,-2.672,1.184,11.264,9,0.0,CHECK_FALL
2026-04-21T16:39:04.822,0.085,0.811,0.868,-13.071,15.983,-2.252,1.191,20.769,11,0.0,CHECK_FALL
2026-04-21T16:39:04.838,0.079,0.792,0.856,-24.131,19.483,-2.882,1.169,31.148,10,0.0,CHECK_FALL
2026-04-21T16:39:04.853,0.084,0.783,0.817,-25.671,23.263,-3.652,1.135,34.835,10,0.0,CHECK_FALL
2026-04-21T16:39:04.853,0.097,0.8,0.78,-21.821,21.023,-3.302,1.121,30.48,9,0.0,CHECK_FALL
2026-04-21T16:39:04.871,0.095,0.854,0.753,-7.821,15.003,-3.092,1.143,17.199,11,0.0,CHECK_FALL
2026-04-21T16:39:04.885,0.09,0.908,0.768,2.469,5.203,-1.692,1.192,6.002,10,0.0,CHECK_FALL
2026-04-21T16:39:04.894,0.064,0.937,0.811,6.109,0.723,-0.432,1.241,6.167,10,0.0,CHECK_FALL
2026-04-21T16:39:04.900,0.047,0.892,0.875,3.939,7.373,1.108,1.251,8.432,10,0.0,CHECK_FALL
2026-04-21T16:39:04.900,0.045,0.842,0.884,-0.961,14.163,2.018,1.222,14.338,10,0.0,CHECK_FALL
2026-04-21T16:39:04.923,0.103,0.785,0.856,-0.821,19.063,-2.112,1.166,19.197,10,0.0,CHECK_FALL
2026-04-21T16:39:04.929,0.136,0.812,0.826,0.929,18.083,-4.562,1.166,18.672,10,0.0,CHECK_FALL
2026-04-21T16:39:04.929,0.19,0.853,0.831,5.899,19.413,-8.202,1.206,21.884,10,0.0,CHECK_FALL
2026-04-21T16:39:04.945,0.239,0.897,0.867,14.579,22.633,-9.952,1.27,28.702,10,0.0,CHECK_FALL
2026-04-21T16:39:04.961,0.228,0.924,0.946,18.639,22.423,-9.322,1.342,30.612,10,0.0,CHECK_FALL
2026-04-21T16:39:04.961,0.201,0.918,0.982,18.919,17.873,-8.202,1.359,27.288,10,0.0,CHECK_FALL
