timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-21T15:25:34.616,-0.017,0.766,-0.224,16.329,-1.867,2.858,0.798,16.682,10,0.0,IDLE_FALL
2026-04-21T15:25:34.631,-0.003,0.742,-0.164,16.609,-0.537,-0.152,0.76,16.618,10,0.0,CHECK_FALL
2026-04-21T15:25:34.647,0.014,0.741,-0.117,15.629,4.643,-3.862,0.75,16.755,10,0.0,CHECK_FALL
2026-04-21T15:25:34.647,0.033,0.742,-0.142,14.229,7.793,-5.752,0.756,17.212,10,0.0,CHECK_FALL
2026-04-21T15:25:34.663,0.066,0.726,-0.21,14.859,10.453,-6.102,0.759,19.164,10,0.0,CHECK_FALL
2026-04-21T15:25:34.679,0.135,0.696,-0.285,14.999,12.693,-6.872,0.764,20.816,10,0.0,CHECK_FALL
2026-04-21T15:25:34.679,0.205,0.641,-0.296,14.299,16.963,-9.112,0.735,23.984,9,0.0,CHECK_FALL
2026-04-21T15:25:34.695,0.289,0.643,-0.149,15.769,28.583,-15.622,0.72,36.189,11,0.0,CHECK_FALL
2026-04-21T15:25:34.695,0.33,0.751,-0.002,12.409,37.613,-25.982,0.82,47.368,10,0.0,CHECK_FALL
2026-04-21T15:25:34.711,0.292,0.889,-0.004,0.509,39.853,-31.722,0.936,50.939,10,0.0,CHECK_FALL
2026-04-21T15:25:34.731,0.175,1.063,-0.09,-6.491,42.863,-33.962,1.082,55.07,9,0.0,CHECK_FALL
2026-04-21T15:25:34.731,0.044,1.179,-0.239,-11.601,44.053,-31.652,1.204,55.471,11,0.0,CHECK_FALL
2026-04-21T15:25:34.747,-0.008,1.214,-0.399,-9.641,44.473,-26.122,1.278,52.47,10,0.0,CHECK_FALL
2026-04-21T15:25:34.747,-0.042,1.157,-0.488,-2.921,50.003,-20.802,1.257,54.236,10,0.0,CHECK_FALL
2026-04-21T15:25:34.767,-0.062,1.113,-0.47,1.419,58.263,-14.922,1.21,60.16,10,0.0,CHECK_FALL
2026-04-21T15:25:34.777,-0.087,1.088,-0.388,-0.401,62.883,-7.712,1.158,63.355,10,0.0,CHECK_FALL
2026-04-21T15:25:34.777,-0.073,1.068,-0.328,-3.271,56.793,-4.842,1.12,57.093,10,0.0,CHECK_FALL
2026-04-21T15:25:34.794,-0.039,1.049,-0.253,-5.091,46.433,-6.102,1.08,47.108,10,0.0,CHECK_FALL
2026-04-21T15:25:34.807,0.02,1.065,-0.207,-3.971,36.003,-9.182,1.085,37.367,10,0.0,CHECK_FALL
2026-04-21T15:25:34.816,0.092,1.163,-0.223,-3.621,27.673,-11.912,1.188,30.344,10,0.0,CHECK_FALL
2026-04-21T15:25:34.816,0.14,1.254,-0.312,-4.111,22.563,-12.962,1.3,26.344,10,0.0,CHECK_FALL
2026-04-21T15:25:34.832,0.193,1.319,-0.424,-4.181,18.293,-12.822,1.399,22.727,10,0.0,CHECK_FALL
2026-04-21T15:25:34.848,0.258,1.364,-0.483,0.229,18.783,-11.422,1.469,21.984,10,0.0,CHECK_FALL
2026-04-21T15:25:34.848,0.292,1.392,-0.521,12.269,24.733,-9.392,1.515,29.162,10,0.0,CHECK_FALL
2026-04-21T15:25:34.864,0.293,1.393,-0.527,22.839,25.923,-7.082,1.518,35.267,10,0.0,CHECK_FALL
2026-04-21T15:25:34.864,0.269,1.366,-0.514,30.259,25.433,-3.372,1.484,39.671,10,0.0,CHECK_FALL
2026-04-21T15:25:34.879,0.231,1.305,-0.491,36.349,24.103,-0.712,1.413,43.62,10,0.0,CHECK_FALL
2026-04-21T15:25:34.896,0.185,1.236,-0.453,41.039,22.633,-0.012,1.33,46.866,10,0.0,CHECK_FALL
2026-04-21T15:25:34.896,0.146,1.213,-0.137,37.119,39.713,-1.342,1.23,54.376,10,0.0,CHECK_FALL
2026-04-21T15:25:34.912,0.123,1.183,-0.469,36.909,59.803,-0.502,1.278,70.277,10,0.0,CHECK_FALL
2026-04-21T15:25:34.928,0.105,1.223,-0.315,36.489,53.503,-2.952,1.267,64.828,10,0.0,CHECK_FALL
2026-04-21T15:25:34.928,0.088,1.281,-0.245,32.569,38.383,-1.202,1.307,50.353,9,0.0,CHECK_FALL
2026-04-21T15:25:34.945,0.086,1.211,-0.218,29.489,20.043,0.618,1.234,35.661,11,0.0,CHECK_FALL
2026-04-21T15:25:34.945,0.086,1.132,-0.317,30.469,4.363,2.228,1.179,30.86,10,0.0,CHECK_FALL
2026-04-21T15:25:34.960,0.101,1.099,-0.303,32.779,5.483,3.488,1.145,33.417,10,0.0,CHECK_FALL
2026-04-21T15:25:34.977,0.099,1.013,-0.182,33.059,14.443,3.068,1.034,36.206,9,0.0,CHECK_FALL
2026-04-21T15:25:34.977,0.102,0.956,-0.035,34.879,19.343,3.208,0.962,40.012,11,0.0,CHECK_FALL
2026-04-21T15:25:34.993,0.116,0.941,-0.019,36.279,15.423,4.118,0.949,39.636,10,0.0,CHECK_FALL
2026-04-21T15:25:35.009,0.14,1.011,-0.098,35.299,14.653,3.838,1.026,38.412,10,0.0,CHECK_FALL
2026-04-21T15:25:35.009,0.14,1.061,-0.018,31.519,13.393,3.558,1.07,34.431,10,0.0,CHECK_FALL
2026-04-21T15:25:35.025,0.123,1.133,-0.168,25.709,4.923,3.138,1.152,26.363,10,0.0,CHECK_FALL
2026-04-21T15:25:35.025,0.13,1.192,-0.153,18.849,-1.727,3.628,1.209,19.273,10,0.0,CHECK_FALL
2026-04-21T15:25:35.041,0.097,1.288,-0.091,12.199,-5.087,4.328,1.295,13.908,10,0.0,CHECK_FALL
2026-04-21T15:25:35.057,0.116,1.273,-0.124,5.409,-3.967,5.378,1.284,8.598,10,0.0,CHECK_FALL
2026-04-21T15:25:35.057,0.113,1.245,-0.15,3.309,-2.497,7.828,1.26,8.858,10,0.0,CHECK_FALL
2026-04-21T15:25:35.073,0.108,1.136,-0.135,1.629,-12.437,8.808,1.149,15.327,10,0.0,CHECK_FALL
2026-04-21T15:25:35.073,0.117,1.041,-0.138,0.299,-21.257,9.928,1.056,23.463,10,0.0,CHECK_FALL
2026-04-21T15:25:35.089,0.116,0.903,-0.115,-1.591,-26.577,11.188,0.918,28.88,10,0.0,CHECK_FALL
2026-04-21T15:25:35.104,0.105,0.735,-0.156,0.019,-33.577,13.428,0.758,36.163,10,0.0,CHECK_FALL
2026-04-21T15:25:35.104,0.079,0.595,-0.09,0.229,-39.947,16.088,0.607,43.066,10,0.0,CHECK_FALL
2026-04-21T15:25:35.119,0.054,0.447,-0.045,0.649,-48.767,20.708,0.453,52.986,10,0.0,CHECK_FALL
2026-04-21T15:25:35.135,0.026,0.288,-0.013,-1.101,-60.317,27.428,0.289,66.27,10,0.0,CHECK_FALL
2026-04-21T15:25:35.135,-0.02,0.049,0.032,-5.931,-75.227,34.778,0.062,83.089,10,0.0,CHECK_FALL
2026-04-21T15:25:35.151,-0.058,-0.131,0.113,-11.741,-78.237,35.828,0.182,86.848,10,0.0,CHECK_FALL
2026-04-21T15:25:35.167,-0.077,-0.242,0.232,-16.711,-73.267,28.408,0.344,80.339,10,0.0,CHECK_FALL
2026-04-21T15:25:35.167,-0.106,-0.235,0.365,-17.411,-54.857,11.328,0.447,58.658,10,0.0,CHECK_FALL
2026-04-21T15:25:35.184,-0.104,0.008,0.566,-12.511,4.783,-3.442,0.576,13.829,9,0.0,CHECK_FALL
2026-04-21T15:25:35.199,-0.124,0.267,0.594,-8.031,57.003,-14.222,0.663,59.296,11,0.0,CHECK_FALL
2026-04-21T15:25:35.204,-0.084,0.558,0.382,-2.431,93.963,-20.662,0.681,96.238,10,0.0,CHECK_FALL
2026-04-21T15:25:35.204,-0.079,0.916,0.242,-3.201,113.073,-23.322,0.951,115.497,10,0.0,CHECK_FALL
2026-04-21T15:25:35.220,-0.072,1.182,0.049,-14.611,117.973,-18.212,1.185,120.261,9,0.0,CHECK_FALL
2026-04-21T15:25:35.235,-0.051,1.376,-0.322,-35.611,103.483,-5.682,1.414,109.586,11,0.0,CHECK_FALL
2026-04-21T15:25:35.235,-0.029,1.584,-0.582,-49.191,82.833,-7.152,1.687,96.603,10,0.0,CHECK_FALL
2026-04-21T15:25:35.251,-0.147,1.955,-0.568,-32.531,102.993,-1.412,2.041,108.017,10,0.0,CHECK_FALL
2026-04-21T15:25:35.267,-0.244,2.243,-0.278,-27.911,137.013,17.698,2.273,140.942,10,0.0,CHECK_FALL
2026-04-21T15:25:35.278,-0.105,2.072,-0.433,-54.511,132.813,18.048,2.12,144.694,10,0.0,CHECK_FALL
2026-04-21T15:25:35.278,-0.067,1.965,-0.678,-59.061,93.683,8.738,2.08,111.09,10,0.0,CHECK_FALL
2026-04-21T15:25:35.295,-0.124,2.155,-0.415,-65.571,63.373,6.428,2.198,91.417,10,0.0,CHECK_FALL
2026-04-21T15:25:35.295,-0.117,2.28,-0.437,-69.141,25.013,3.558,2.325,73.612,10,0.0,CHECK_FALL
2026-04-21T15:25:35.318,-0.11,2.319,-0.417,-57.591,-29.937,2.298,2.359,64.948,10,0.0,CHECK_FALL
2026-04-21T15:25:35.325,-0.104,2.157,-0.359,-47.651,-70.397,1.808,2.189,85.027,10,0.0,CHECK_FALL
2026-04-21T15:25:35.332,-0.085,1.999,-0.269,-42.821,-102.807,0.198,2.019,111.369,10,0.0,CHECK_FALL
2026-04-21T15:25:35.349,-0.062,1.884,-0.226,-43.521,-107.847,-2.112,1.898,116.317,10,0.0,CHECK_FALL
2026-04-21T15:25:35.359,-0.058,1.839,-0.307,-46.671,-87.407,-1.902,1.866,99.105,10,0.0,CHECK_FALL
2026-04-21T15:25:35.366,-0.103,1.793,-0.366,-47.581,-59.127,2.018,1.833,75.921,10,0.0,CHECK_FALL
2026-04-21T15:25:35.370,-0.134,1.637,-0.431,-46.181,-38.547,3.138,1.698,60.236,10,0.0,CHECK_FALL
2026-04-21T15:25:35.383,-0.169,1.486,-0.444,-36.801,-40.997,5.098,1.56,55.327,10,0.0,CHECK_FALL
2026-04-21T15:25:35.399,-0.165,1.31,-0.38,-28.751,-51.287,8.668,1.374,59.432,10,0.0,CHECK_FALL
2026-04-21T15:25:35.407,-0.113,1.065,-0.261,-24.831,-56.957,11.678,1.102,63.223,10,0.0,CHECK_FALL
2026-04-21T15:25:35.416,-0.07,0.867,-0.182,-24.201,-56.047,14.898,0.888,62.841,10,0.0,CHECK_FALL
2026-04-21T15:25:35.416,-0.052,0.619,-0.112,-24.831,-57.797,17.908,0.631,65.405,10,0.0,CHECK_FALL
2026-04-21T15:25:35.432,-0.059,0.338,-0.074,-22.661,-61.857,21.128,0.351,69.183,9,0.0,CHECK_FALL
2026-04-21T15:25:35.448,-0.008,-0.018,-0.092,-18.461,-72.987,20.568,0.094,78.045,11,0.0,CHECK_FALL
2026-04-21T15:25:35.448,0.043,-0.252,0.016,-15.171,-87.547,11.538,0.256,89.598,10,0.0,CHECK_FALL
2026-04-21T15:25:35.465,0.082,-0.431,0.176,-16.711,-93.287,-3.092,0.472,94.823,10,0.0,CHECK_FALL
2026-04-21T15:25:35.465,0.154,-0.559,0.388,-16.221,-78.447,-16.532,0.698,81.795,9,0.0,CHECK_FALL
2026-04-21T15:25:35.482,0.232,-0.412,0.51,-8.451,-51.847,-28.362,0.696,59.699,11,0.0,CHECK_FALL
2026-04-21T15:25:35.499,0.264,-0.254,0.546,3.029,-21.047,-33.822,0.658,39.951,10,0.0,CHECK_FALL
2026-04-21T15:25:35.499,0.285,-0.061,0.585,11.919,14.023,-32.702,0.654,37.525,10,0.0,CHECK_FALL
2026-04-21T15:25:35.515,0.274,0.075,0.466,15.419,43.353,-32.072,0.546,56.087,10,0.0,CHECK_FALL
